hardskills
Amazon Web Services
HTML5
Kubernetes
MicroPython
ChatOps
SQLAlchemy
SNMP
Waves
Alfred Workflows
Cosmos SDK
EVM Security
Neovim
Competitive Programming
Apache Wicket
Audiovisual
Complex Systems
Generative AI
Product Management
Magento 2
Serverless Framework
Analytics
Imba
Construct 2
InfluxDB
Network Analysis
Android Security
Screensavers
npm
Colorful
Master CSS
nginx
Web Design
Web Security
Computational Neuroscience
Python
Cassandra
JMeter
Web Accessibility
Data Science
Ansible
Containers
Content Management Systems
libGDX
Building Blocks for Web Apps
WordPress-Gatsby
Draft.js
Corda
Roslyn
Unity
IPFS
Pascal
Git Hooks
ESLint
Next.js
ChatGPT
Cycle.js
GeoJSON
OpenGL
Dart
Datasets
Electronics
Security
Shell
TensorFlow.js
OCaml
Android
Redux
Asyncio
Dotfiles
Idris
Userscripts
Cross-Platform
jQuery
Typing
Microservices
Symfony
Internships
Digital Humanities
Chrome DevTools
REST
Embedded and IoT Security
Micro npm Packages
D3
GitHub 
TypeDB
Ledger
Protips
Codeface
Slim
Jupyter
Rails

Miscellaneous
.NET

Suricata
Splunk
Blockchain AI
Haskell
GraphQL
Electron
Data Engineering
Papers
MQTT

PICO-8
Phalcon
Sass
ArcGIS Developer
Real-Time Communications
STEAM
Raspberry Pi

Slack
Motion UI Design
Flask

MDBootstrap

WP-CLI
IBM Cloud
Zig
Urban & Regional Planning
DigitalOcean
Tiny JS
iOS

JAMstack
ZSH Plugins
Nix
Frontend Development

Visual Studio Code

Productivity
Web Tools
Static Website Services
PHP
Emacs
NLP with Ruby
CSS
Progressive Web Apps
Gems
MySQL


DevSecOps
Drupal
Sublime Text
Flutter

Neuroscience

WebGL

Unicode
Mobile Web Development
Windows
ClojureScript
React Native

Events in the Netherlands
Data Visualization

Xamarin
TALL Stack
Common Lisp
CSV

DOS
Web Performance Optimization
Conversational AI
Answers
Apache Spark
Quarto

Vim
Parasite
Ponyfills
Angular

Code Review
Speech and Natural Language Processing
Framer
Promises
Papers We Love
npm scripts
Code Points
Arch-based Projects
ES6 Tools
GitHub Actions
SaltStack
Open Source Apps
Blazor
Decentralized Systems
Open Companies
Silverstripe CMS
Android UI
Capacitor
GNOME
Java
Appium
JVM
Computer Vision
Software Patreons
Application Security

Cloudflare
Hadoop
Gatling
Game Development
NoSQL Guides
KnockoutJS
Podcasts
Integration
Services Engineering
Scapy

FOSS Production Apps
Terraform

TensorFlow Lite


Amazon Alexa
Node-RED
Pyramid

PCAPTools
Substrate
Service Workers
JSON
Esolangs

MongoDB

RethinkDB
Audio Visualization
DTrace
Docker
Fuse
Visual Regression Testing
Q#
Quick Look Plugins
Diversity
Natural Language Generation
Programming Languages

Hacking
Algorand

C/C++
Site Reliability Engineering
Testing
Laravel
Mastodon
Firebase

Back-End Development

Robotics
LaTeX
Cytodata
Lumen
Economics
Cyber Security University
GitHub
Honeypots
Healthcare
Continuous Integration and Continuous Delivery
Kustomize
Open Source Supporters
RxJava
Ruby
AGI & CoCoSci
Password Cracking
CircuitPython
Aurelia
Plotters
Git Tips
Selenium
Critical-Path Tools
Robot Operating System 2.0
Dropwizard
FastAPI
CDK
Artificial Intelligence
SSH

Hacking Spots
Cryptography


JAX
Elixir

VLC
Supabase
Open Source Society University
Groovy
Seed
Algorithm Visualizations
Whisper
React

Vala

CMake

ActionScript 3
Machine Learning
Apps
Speakers
For Girls
Talks
HBase
Fuzzing
KDE
Craft CMS
Deep Learning
Software Engineering Blogs
Big Data
Malware Analysis
Preact
al Design


Tailwind CSS

Vue.js
Ada
SPARK

CouchDB

Track Awesome List
Kotlin
ColdFusion
Flame
Inertia.js

Scala Native

Backbone

PowerShell
TensorFlow

React Hooks

Rust

PostCSS
Node.js

PostgreSQL

Linux
Material-UI
ZeroNet

CakePHP

Theravada
JavaScript

Neo4j

DevOps

Deep Vision
iOS UI
Perl
Computer Science
IoT & Hybrid Apps
Vert.x
Salesforce
Swift
Core
Fortran
Scala
Marionette.js


Java
Java
Spring
Hibernate
JavaFX
JUnit
Python
Django
Flask
TensorFlow
PyTorch
Scikit-learn
Pandas
Numpy
Matplotlib
Beautiful Soup
OpenCV
pytest
Vuejs
Typescript
Bootstrap
Jest
C#

MySQL
PostgreSQL
MongoDB
SQLite
Microsoft SQL Server
Apache
Cloud
AWS
Azure
Google Cloud
Oracle
IBM Cloud

C++
Git

Ruby
Go
Perl
Haskell
Swift

Ruby on Rails
Sinatra
Express.js
Flask
Django
Laravel
Spring
ASP.NET

Swift
Kotlin
Flutter
React Native
Xamarin

Redis
Couchbase
DynamoDB
MariaDB
Cassandra

Mercurial

Jenkins
CircleCI
Travis CI

Angular
Svelte
Quasar Framework
Nuxt.js
Tailwind CSS

JIRA 
Prometheus
Grafana 
RabbitMQ
Elasticsearch
Logstash 
Kibana
