job_title,company_name,contract_type,niveau_etude,secteur,teletravail,experience,salaire,skills,city,department
Software Engineer Front-End en Alternance H/F,AXA en France,Alternance,Bac +5,,True,7.0,17514.0,"['django', 'ruby', 'python', 'swift', 'kotlin', 'swift', 'microservices', 'mongodb', 'sql', 'python', 'python']",Nanterre,92
.Net Software Engineer H/F,TRSB,CDI,,,False,,61500.0,"['oracle', 'docker', 'microservices', 'hibernate', 'git', 'postgresql', 'spring']",Lyon,69
Software Engineer Node - React - Aws H/F,Seyos,CDI,Bac +5,Secteur informatique • ESN,True,1.0,52500.0,"['aws', 'typescript']",Paris 8e,75
Senior Java Fullstack Software Engineer H/F,Weavy Consulting,CDI,,Services aux Entreprises,True,,43653.0,['aws'],Paris,75
Google Cloud Software Engineer H/F,Hardis Group,CDI,,,False,,43653.0,['devops'],Nantes,44
Software Engineer Java - Angular - Tv Numérique H/F,Seyos,CDI,Bac +5,Secteur informatique • ESN,True,1.0,52500.0,"['docker', 'jenkins', 'rest', 'hibernate', 'kubernetes', 'angular', 'mysql', 'junit', 'java', 'vue.js', 'git', 'postgresql', 'spring']",Cesson-Sévigné,35
Software Engineer Llm - Node.Js - Vue.Js H/F,Seyos,CDI,Bac +5,Secteur informatique • ESN,True,1.0,50000.0,"['aws', 'docker', 'javascript', 'c#', 'node.js', 'python', 'vue.js', 'postgresql']",Paris 8e,75
Fullstack Software Engineer Java - Typescript Exp Mini H/F,Twenty One Talents,CDI,Bac +5,,True,7.0,67500.0,"['scikit-learn', 'dart', 'flask', 'java', 'artificial intelligence', 'c#', 'computer vision', 'python', 'vuejs', 'react']",Paris,75
Junior - Software Engineer - Full Stack - Financial Services H/F,Deloitte,CDI,Bac +5,Services aux Entreprises,True,1.0,43653.0,"['docker', 'devops', 'github', 'rest', 'django', 'azure', 'kubernetes', 'angular', 'git', 'postgresql', 'typescript', 'analytics', 'css']",La Défense,92
Senior Software Engineer Java Developer H/F,Abylsen,CDI,Bac +5,Secteur informatique • ESN,False,1.0,50000.0,['java'],Valbonne,06
Microsoft Cloud Software Engineer H/F,Hardis Group,CDI,,,False,,43653.0,"['azure', 'aws', '.net']",Grenoble,38
