Langage / Domaine;Outils
Java;Java, Spring, Hibernate, JavaFX, JUnit
Python;Python, Django, Flask, TensorFlow, PyTorch, Scikit-learn, Pandas, Numpy, Matplotlib, Beautiful Soup, OpenCV, pytest
JavaScript;JavaScript, React, Angular, Vue, Typescript, Bootstrap, Jest
C#;C#, .NET
Database;MySQL, PostgreSQL, MongoDB, SQLite, Microsoft SQL Server
Deploiement & Orchestration;Docker, Kubernetes, Apache
Cloud; AWS, Azure, Google Cloud, Oracle, IBM Cloud
Other languages; C, C++, Swift, HTML, php
Others; Git, Jira, Slack, xCode, VSCode
